0.01,0.072,0.03,0.02,0.198,0.174,0.01,0.146,0.064,0.046
0.072,0.15,0.154,0.076,0.162,0.212,0.044,0.188,0.176,0.132
0.12,0.164,0.198,0.126,0.14,0.17,0.118,0.232,0.198,0.18
0.138,0.144,0.184,0.134,0.114,0.126,0.156,0.202,0.214,0.172
0.154,0.156,0.184,0.122,0.096,0.128,0.184,0.17,0.204,0.162
0.162,0.17,0.186,0.144,0.124,0.154,0.194,0.146,0.196,0.15
0.16,0.158,0.182,0.154,0.136,0.154,0.182,0.146,0.188,0.138
0.162,0.156,0.186,0.178,0.146,0.146,0.174,0.162,0.188,0.14
0.172,0.156,0.15,0.192,0.142,0.14,0.186,0.174,0.182,0.148
