0.932,0.542,0.742,0.532,0.936,0.882,0.424,0.704,0.464,0.24,0.648,0.2,0.966,0.916,0.582,0.934,0.418,0.59,0.694,0.946
0.968,0.492,0.826,0.658,0.966,0.938,0.526,0.812,0.592,0.24,0.796,0.218,0.95,0.854,0.73,0.924,0.518,0.568,0.81,0.964
0.974,0.476,0.89,0.766,0.964,0.968,0.648,0.87,0.758,0.256,0.894,0.248,0.928,0.824,0.836,0.93,0.638,0.532,0.88,0.966
0.96,0.472,0.936,0.846,0.958,0.97,0.786,0.92,0.864,0.268,0.956,0.29,0.904,0.78,0.9,0.918,0.772,0.518,0.926,0.952
0.952,0.482,0.946,0.902,0.95,0.964,0.872,0.942,0.946,0.28,0.958,0.37,0.874,0.742,0.934,0.89,0.878,0.512,0.94,0.948
0.932,0.49,0.946,0.934,0.95,0.958,0.932,0.954,0.968,0.302,0.954,0.5,0.86,0.724,0.952,0.872,0.936,0.514,0.948,0.946
0.922,0.5,0.938,0.964,0.936,0.954,0.952,0.954,0.96,0.316,0.938,0.682,0.848,0.724,0.946,0.85,0.962,0.53,0.94,0.934
0.91,0.522,0.932,0.968,0.926,0.95,0.968,0.948,0.952,0.324,0.926,0.828,0.83,0.72,0.942,0.844,0.966,0.54,0.926,0.926
0.894,0.534,0.934,0.97,0.918,0.938,0.968,0.954,0.948,0.354,0.912,0.918,0.826,0.724,0.938,0.85,0.968,0.562,0.926,0.924
