0.08,0.018,0.036,0.012,0.102,0.068,0.014,0.034,0.012,0.004,0.03,0.002,0.142,0.11,0.02,0.124,0.02,0.032,0.038,0.094
0.146,0.016,0.072,0.024,0.128,0.086,0.012,0.062,0.024,0.0,0.064,0.008,0.126,0.116,0.038,0.114,0.014,0.028,0.066,0.156
0.14,0.01,0.102,0.042,0.124,0.114,0.03,0.084,0.06,0.0,0.122,0.004,0.12,0.062,0.074,0.124,0.032,0.016,0.096,0.124
0.134,0.008,0.128,0.086,0.166,0.11,0.062,0.126,0.102,0.0,0.146,0.014,0.102,0.044,0.088,0.102,0.054,0.012,0.122,0.142
0.128,0.006,0.108,0.09,0.136,0.166,0.086,0.102,0.138,0.0,0.13,0.028,0.062,0.054,0.116,0.112,0.082,0.006,0.112,0.15
0.11,0.004,0.138,0.144,0.134,0.128,0.142,0.112,0.138,0.0,0.128,0.038,0.05,0.038,0.116,0.072,0.146,0.01,0.13,0.12
0.086,0.002,0.104,0.132,0.108,0.134,0.132,0.14,0.154,0.0,0.112,0.052,0.044,0.03,0.13,0.074,0.132,0.004,0.104,0.114
0.074,0.002,0.126,0.148,0.1,0.124,0.134,0.11,0.124,0.0,0.08,0.06,0.024,0.018,0.116,0.05,0.136,0.002,0.12,0.11
0.046,0.0,0.1,0.138,0.078,0.098,0.13,0.118,0.106,0.0,0.062,0.1,0.012,0.018,0.112,0.024,0.132,0.0,0.086,0.088
